failure,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_187_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw
0,203572781,0,10,0,570130180,6921,0,9,0,2663,0,468,37,0,0,0
0,0,541,14,0,0,27929,0,14,0,0,175,175,22,0,0,0
0,132009488,0,1,0,455588899,9294,0,1,0,0,0,2307,26,0,0,0
0,152207808,0,25,0,396318346,20893,0,25,0,0,7,110324,20,0,0,0
0,26611880,0,16,0,425088254,19468,0,16,0,0,7,9183,28,0,0,0
0,155465960,0,8,0,170302963,4375,0,8,0,0,0,24315,30,0,0,0
0,201294728,0,7,0,22221709034,10977,0,6,0,0,0,3791,27,0,0,0
0,25941520,0,1,0,51605886,1329,0,1,0,0,0,10256,21,0,0,0
0,169032200,0,6,0,151096809,4013,0,6,0,0,0,38942,28,0,0,0
0,0,0,4,0,0,10974,0,4,0,0,62,62,23,0,0,0
0,0,405,8,0,0,12439,0,8,0,0,183,183,28,0,0,0
0,216594080,0,3,0,179616632,4569,0,3,0,0,0,27431,26,0,0,0
0,0,523,19,0,0,23087,0,19,0,0,22,22,29,0,0,0
0,0,432,7,0,0,13665,0,7,0,0,95,95,35,0,0,0
0,24223016,0,10,0,156049917,3274,0,10,0,0,0,3201,23,0,0,0
0,0,558,27,0,0,37785,0,27,0,0,1420,1420,28,0,0,0
0,0,557,15,0,0,23146,0,15,0,0,19,19,26,0,0,0
0,200834960,0,2,0,23943802,14678,0,2,0,0,1,4692,27,0,0,0
0,0,565,10,0,0,32623,0,10,0,0,11,11,26,0,0,0
0,0,0,1,0,0,13498,0,1,0,0,62,62,30,0,0,0
0,0,633,23,0,0,44492,0,22,0,0,1317,1317,24,0,0,1
0,126123960,0,15,0,312101780,17080,0,15,0,0,8,7397,20,0,0,0
0,0,632,43,0,0,42323,0,43,0,0,1390,1390,30,0,0,0
0,0,623,27,0,0,35053,0,27,0,0,30,30,21,0,0,152
0,0,0,3,0,0,11959,0,3,0,0,175,175,26,0,0,0
0,0,0,2,0,0,12128,0,2,0,0,124,124,33,0,0,0
0,217913912,0,6,0,362816919,9250,0,6,0,0,0,19460,20,0,0,0
0,0,559,15,0,0,24674,0,15,0,0,19,19,20,0,0,0
