SN,SFR_L,SFR_R,sample
61A3B000354,478.9333,498.9867,53
61A3B000213,548.9067,526.72,53
61A3B002870,507.52,556.5867,53
61A3B000264,547.4133,545.0667,54
61A3B005724,553.8792,522.3087,54
61A3B006637,585.3986,511.1467,54
61A3B003661,543.5733,532.9067,54
61A3B004015,597.0411,489.1733,54
61A3B002753,546.7733,505.1733,55
61A3B002439,537.1733,500.2667,55
61A3B004013,538.4533,504.32,55
61A3B002733,628.4706,520.96,55
61A3B033390,567.6028,523.0933,55
61A3B004909,541.8523,494.5067,56
61A3B000334,607.1233,530.6846,56
61A3B005597,535.8933,478.9333,56
61A3B000331,585.0201,509.44,56
61A3B005677,540.5867,507.3067,56
61A3B004581,577.3521,658.5263,57
61A3B003666,541.6533,532.4027,57
61A3B005437,603.1304,481.92,57
61A3B003055,555.52,558.9189,57
61A3B003624,555.3067,541.6533,57
61A3B004166,553.7297,547.5068,58
61A3B004914,541.6533,501.12,58
61A3B002464,570.2013,553.7103,58
61A3B002281,540.16,517.76,58
61A3B005631,592.5674,474.6667,58
61A3B006767,553.6,493.44,59
61A3B000333,495.1467,487.2533,59
61A3B003114,549.12,545.28,59
61A3B003608,562.8493,584.7467,59
61A3B003281,595.1565,499.84,59
61A3B001361,471.04,481.4933,60
61A3B005646,580.2667,532.6933,60
61A3B000698,558.5067,494.2933,60
61A3B006949,505.8133,443.9467,60
61A3B003744,337.4933,714.2069,60
61A3B002284,548.5101,489.6,61
61A3B002626,571.52,497.28,61
61A3B006641,558.9333,504.96,61
61A3B006935,588.1379,472.32,61
61A3B006952,572.2483,531.84,61
61A3B000050,529.92,490.24,62
61A3B006953,558.5067,554.4533,62
61A3B006960,562.6846,533.76,62
61A3B003607,521.3867,498.0403,62
61A3B000324,573.3147,520.32,62
61A3B006179,540.5867,505.8133,63
61A3B006622,531.2,526.2933,63
61A3B002728,527.1467,518.4,63
61A3B006959,549.12,463.1467,63
61A3B002347,536.5333,503.04,63
61A3B003610,564.0533,472.96,64
61A3B004670,549.3333,530.7733,64
61A3B005717,567.8389,532.0533,64
61A3B002621,552.3758,516.9067,64
61A3B004071,546.1769,504,64
61A3B006624,505.1733,508.8,65
61A3B002737,568.292,520.7467,65
61A3B002349,512.4267,494.72,65
61A3B002352,500.2667,497.92,65
61A3B003243,583.4667,513.7067,65
61A3B004078,569.2055,539.9467,66
61A3B000694,566.2411,525.0133,66
61A3B005723,572.5867,518.6133,66
61A3B002857,601.2867,488.32,66
61A3B004188,559.1467,552.96,66
61A3B006944,550.137,496.2133,67
61A3B005750,511.36,511.1467,67
61A3B003428,534.4,506.24,67
61A3B004070,557.0133,512.8533,67
61A3B005760,284.1342,638.7071,67
61A3B004961,522.0267,466.7733,68
61A3B001931,478.6479,493.2267,68
61A3B001095,524.8,480.4267,68
61A3B005880,554.4533,488.5333,68
61A3B006383,534.8267,477.6533,68
61A3B003412,531.84,560.4324,69
61A3B001696,560,520.96,69
61A3B002231,546.7733,549.12,69
61A3B004960,567.4667,485.12,69
61A3B003349,559.2483,538.24,69
61A3B004448,600.381,534.6133,70
61A3B004964,551.4667,500.9067,70
61A3B002622,478.08,546.56,70
61A3B005617,555.9712,468.48,70
61A3B004131,488.96,485.3333,70
61A3B001827,550.4,474.24,71
61A3B005534,582.7246,542.4762,71
61A3B006914,571.3333,504.7467,71
61A3B006846,537.6,526.72,71
61A3B003248,523.6966,514.1622,71
61A3B003286,591.2941,483.8658,72
61A3B003577,585.6901,539.3067,72
61A3B004064,565.76,449.0667,72
61A3B005771,512.4267,493.2267,72
61A3B002369,546.56,488.32,72
61A3B003509,584.1194,481.92,73
61A3B003601,560.331,508.8,73
61A3B005678,540.3429,534.4,73
61A3B004099,512,507.0604,73
61A3B002286,540.16,551.5168,73
61A3B004582,544.4295,501.9733,74
61A3B002701,579.5068,512.2133,74
61A3B003634,554.9851,538.88,74
61A3B000342,587.2676,525.44,74
61A3B005648,505.6,482.3467,74
61A3B000332,551.4667,493.2267,75
61A3B003327,561.28,553.1733,75
61A3B002526,600.5333,521.1733,75
61A3B002527,597.3333,497.4933,75
61A3B003270,598.5736,690.0194,75
61A3B005643,503.2533,506.0267,76
61A3B004215,555.8857,439.4667,76
61A3B003396,312.7467,518.015,76
61A3B005596,583.8367,492.3733,76
61A3B000270,542.2933,516.0533,76
61A3B000169,538.4533,475.0933,77
61A3B002401,559.7867,527.1467,77
61A3B006826,573.0072,553.6,77
61A3B000201,560.331,560,77
61A3B005254,481.7067,476.5867,77
61A3B000272,554.094,567.8389,78
61A3B006828,525.44,525.2267,78
61A3B006775,685.6828,477.44,78
61A3B003586,562.7733,497.0667,78
61A3B004155,280.5333,420.2835,78
61A3B002410,602.1374,534.1867,79
61A3B006975,556.8,530.3467,79
61A3B002672,548.6933,500.9067,79
61A3B005753,495.7867,489.3867,79
61A3B005514,585.8993,533.3333,79
61A3B003284,545.5034,487.04,80
61A3B004185,632.7129,531.4133,80
61A3B002387,563.5177,485.76,80
61A3B006971,534.8267,444.8,80
61A3B004154,609.9823,522.4533,80
61A3B002496,326.0134,618.6667,81
61A3B002390,614,520.32,81
61A3B005529,542.9333,490.0267,81
61A3B002480,558.8889,544.8591,81
61A3B006603,480.64,493.2267,81
61A3B005676,542.9262,510.72,82
61A3B000266,598.6395,495.1467,82
61A3B004952,538.6667,500.0533,82
61A3B003931,307.6757,568.1356,82
61A3B003505,529.4933,524.8,82
61A3B002470,502.6133,514.7733,83
61A3B006535,545.92,526.9333,83
61A3B002486,569.2973,497.92,83
61A3B006669,555.1407,545.4933,83
61A3B002392,512.8533,470.6133,83
61A3B000284,532.1879,531.4133,84
61A3B001939,552.2162,521.6,84
61A3B001026,537.1733,540.16,84
61A3B006968,547.6267,515.4133,84
